,Tract,FIPS,Area (Land),Total Population:,% Total Population: White Alone,% Total Population: Black or African American Alone,Population 25 Years and Over:,Civilian Population in Labor Force 16 Years and Over:,% Civilian Population in Labor Force 16 Years and Over: Employed,% Civilian Population in Labor Force 16 Years and Over: Unemployed,Households:,% Households: with Social Security Income,% Households: No Social Security Income,% Total: No Health Insurance Coverage,% Total: with Health Insurance Coverage,% Total: with Health Insurance Coverage: Public Health Coverage,% Total: with Health Insurance Coverage: Private Health Insurance,"% Households: Less than $39,999","% Households: $40,000 to $74,999","% Households: $75,000 or More",% High School or Less,% Bachelor's or More,Life Expectancy
0,Adams County 0001.00,17001000100,14087146,4607,90.71,6.19,3425,2329,92.79,7.21,2288,42.13,57.87,3.15,96.85,48.1,68.76,35.96,34.71,29.32,40.519999999999996,21.55,85.3
1,Adams County 0002.01,17001000201,3206319,2003,90.66,6.54,1365,990,97.68,2.32,835,34.85,65.15,6.44,93.56,40.49,66.45,44.91,23.83,31.250000000000004,39.410000000000004,24.91,78.1
2,Adams County 0002.02,17001000202,1514956,2391,84.53,10.25,1541,1409,93.12,6.88,896,23.21,76.79,10.87,89.13,28.69,71.14,36.5,43.86,19.64,39.0,16.55,78.2
3,Adams County 0004.00,17001000400,4443142,3314,77.46,13.7,2311,1355,95.79,4.21,1286,26.44,73.56,4.34,95.66,55.61,49.66,51.47,27.919999999999998,20.61,59.150000000000006,9.649999999999999,66.2
4,Adams County 0005.00,17001000500,1262517,2154,84.68,8.17,1458,839,96.31,3.69,787,41.04,58.96,7.33,92.67,50.08,50.66,50.82000000000001,32.92,16.26,52.81,13.170000000000002,71.6
5,Adams County 0006.00,17001000600,2730589,4284,91.99,4.51,2932,2679,94.62,5.38,1842,25.57,74.43,4.16,95.84,33.42,74.69,30.839999999999996,32.14,37.03,26.3,35.27,82.1
6,Adams County 0007.00,17001000700,1356914,1114,88.06,9.07,942,414,96.62,3.38,765,45.1,54.9,3.22,96.78,69.08,42.5,82.88,11.76,5.359999999999999,65.71000000000001,11.36,69.8
7,Adams County 0008.00,17001000800,2367424,2297,85.94,11.62,1696,1007,90.17,9.83,1005,40.3,59.7,12.47,87.53,60.82,41.37,75.03,11.649999999999999,13.34,71.11,3.89,68.2
8,Adams County 0009.00,17001000900,1797932,2738,93.46,2.08,1610,1590,88.62,11.38,1239,30.1,69.9,8.07,91.93,35.54,65.12,48.50999999999999,30.910000000000004,20.590000000000003,34.53,22.98,78.9
9,Adams County 0010.01,17001001001,1629646,3389,97.55,1.68,2301,1860,97.31,2.69,1390,24.17,75.83,1.68,98.32,38.09,75.75,33.89,30.86,35.25,39.47,22.209999999999997,77.7
10,Adams County 0010.02,17001001002,3076715,3170,92.11,0.41,2105,1406,99.36,0.64,1146,36.74,63.26,1.66,98.34,37.9,74.73,28.529999999999998,36.3,35.17,42.23,19.19,78.7
11,Adams County 0011.00,17001001100,12840511,8000,87.84,7.56,5886,4475,96.02,3.98,3514,35.09,64.91,2.61,97.39,38.11,72.87,31.58,28.22,40.18,32.11,35.720000000000006,82.7
12,Adams County 0101.00,17001010100,574561437,4450,97.17,0.72,3070,2487,97.83,2.17,1719,32.0,68.0,2.3,97.7,29.26,78.67,26.17,31.41,42.42,42.339999999999996,20.91,79.2
13,Adams County 0102.00,17001010200,387454770,3486,98.51,0.0,2385,1749,97.43,2.57,1471,34.13,65.87,4.32,95.68,39.43,69.66,39.16,28.14,32.7,51.28,16.47,76.7
14,Adams County 0104.00,17001010400,175669750,3485,96.81,0.0,2475,1803,96.06,3.94,1252,36.42,63.58,0.92,99.08,30.42,82.53,22.77,27.47,49.760000000000005,36.89,33.53,79.2
15,Adams County 0105.00,17001010500,48683881,2884,99.45,0.0,2228,1464,99.11,0.89,1197,36.01,63.99,0.9,99.1,38.42,86.65,18.96,23.14,57.89,38.47,34.37,80.8
