CensusTract,County,PovertyRate,MedianFamilyIncome,Urban,LowAccessOneMileUrban10Rural,LowAccessHalfMileUrban10Rural,LowAccessHalfMile,LowAccessOneMile,Population,PrcntWhite,PrcntAA,PrcntHispanic,PrcntNoVehicle,PrcntSNAP
17001000100,Adams County,8.16281628162816,58000.0,1,1,1,1,1,4627.0,95.35336070888270,1.3399610979036100,1.5560838556300000,2.5286362653987500,6.181110870974710
17001000201,Adams County,14.6231155778894,54509.0,1,0,1,1,0,1986.0,94.76334340382680,2.6686807653575000,0.906344410876133,2.719033232628400,5.589123867069490
17001000202,Adams County,16.2356930902925,61887.0,1,0,1,1,0,2999.0,89.62987662554190,7.169056352117370,2.067355785261750,1.6005335111703900,2.6342114038012700
17001000400,Adams County,27.321541377132000,39444.0,1,0,1,1,0,4322.0,81.60573808422030,13.465987968533100,1.8047200370199000,7.450254511800090,10.45812124016660
17001000500,Adams County,16.5064102564103,47727.0,1,0,1,1,0,2337.0,80.10269576379970,16.260162601626000,0.7702182284980750,6.546854942233630,8.68635002139495
17001000600,Adams County,12.311358220810200,75278.0,1,0,1,1,0,3718.0,92.95320064550830,3.442711135018830,1.183431952662720,1.6137708445400800,4.249596557288870
17001000700,Adams County,45.0381679389313,24297.0,1,0,1,1,0,1481.0,86.2930452397029,10.330857528696800,1.1478730587440900,26.2660364618501,20.526671168129600
17001000800,Adams County,38.3534920015607,36827.0,1,0,0,0,0,2711.0,85.46661748432310,6.787163408336410,2.028771670970120,10.734046477314600,18.18517152342310
17001000900,Adams County,26.1025457153101,49535.0,1,0,1,1,0,2573.0,92.53789350952200,3.9642440730664600,1.4380101049358700,1.515740380878350,8.511465215701520
17001001001,Adams County,9.12081339712919,67361.0,1,0,1,1,0,3391.0,95.57652609849600,1.7104099085815400,1.1206133883810100,2.7130639929224400,7.195517546446480
17001001002,Adams County,4.03225806451613,71806.0,1,0,1,1,0,3223.0,96.40086875581760,1.8926466025442100,1.3962147067949100,2.358051504809180,2.7614024201054900
17001001100,Adams County,9.46522109879401,70978.0,1,1,1,1,1,7257.0,93.45459556290480,2.590602177208210,1.281521289789170,3.0866749345459600,4.891828579302740
