State,Year,Deaths,Population,MortalityPer100k,HFR
Alabama,1999,775,31010987,2.4991142655343400,0.537
Alabama,2000,754,31129700,2.422124209356340,0.538
Alabama,2001,726,31273438,2.3214588687051300,0.522
Alabama,2002,709,31360623,2.2607969235815200,0.553
Alabama,2003,755,31524437,2.3949674343113600,0.504
Alabama,2004,664,31715103,2.0936397400317400,0.516
Alabama,2005,722,31988635,2.257051605984440,0.485
Alabama,2006,768,32402867,2.370160640414940,0.468
Alabama,2007,808,37382720,2.1614264558598200,0.481
Alabama,2008,815,37745648,2.159189318991160,0.503
Alabama,2009,823,33305566,2.471058441102610,0.482
Alabama,2010,770,33458152,2.3013823357608000,0.456
Alabama,2011,782,38421920,2.035296518237510,0.513
Alabama,2012,805,24110115,3.338847616446460,0.543
Alabama,2013,841,33836054,2.485514416072280,0.516
Alabama,2014,792,33945639,2.333142115839980,0.51
Alabama,2015,950,38871832,2.4439290641099700,0.495
Alabama,2016,1035,38906400,2.66023070754426,0.528
Alaska,1999,80,2499116,3.201131920247000,0.571
Alaska,2000,112,2507728,4.4661941007956200,0.601
Alaska,2001,82,1267428,6.4697955229015000,0.61
Alaska,2002,111,1284674,8.640324315740800,0.614
Alaska,2003,106,1296828,8.173790201938890,0.587
Alaska,2004,107,1318572,8.114839386851840,0.58
Alaska,2005,104,1333892,7.796733168802270,0.609
Alaska,2006,93,1350604,6.885808127326740,0.551
Alaska,2007,109,1360600,8.01117154196678,0.577
Alaska,2008,116,2062365,5.624610580571330,0.613
Alaska,2009,91,2096685,4.340184624776730,0.543
Alaska,2010,127,2130693,5.960502052618560,0.611
Alaska,2011,116,2890872,4.012630099153470,0.627
Alaska,2012,115,2925796,3.9305542833471600,0.607
Alaska,2013,136,2940528,4.6250197243488200,0.576
Alaska,2014,133,2946928,4.513174397202780,0.618
Alaska,2015,156,2953728,5.281461258450340,0.551
Alaska,2016,156,2967576,5.256815663693200,0.572
Arizona,1999,808,35166761,2.2976241684583900,0.409
Arizona,2000,783,35914424,2.180182536130890,0.427
Arizona,2001,836,42187816,1.9816147866009500,0.35
Arizona,2002,963,43170040,2.230713707932630,0.381
Arizona,2003,834,38572548,2.1621594715495600,0.393
Arizona,2004,888,45219232,1.9637662134553700,0.368
Arizona,2005,922,40873539,2.2557381194713800,0.373
Arizona,2006,960,36174846,2.6537777106224600,0.385
Arizona,2007,944,49341448,1.913198818161960,0.38
Arizona,2008,882,37682172,2.3406294095786200,0.382
Arizona,2009,833,38058924,2.188711378177690,0.396
Arizona,2010,914,44744119,2.0427265536282000,0.346
Arizona,2011,956,51860040,1.8434231828591000,0.329
Arizona,2012,932,45872785,2.0317057270449100,0.415
Arizona,2013,925,46386368,1.9941203415624200,0.366
Arizona,2014,904,40388904,2.2382385023371800,0.385
Arizona,2015,944,34140325,2.7650586220254200,0.36
Arizona,2016,1081,48517497,2.2280621772388600,0.36
Arkansas,1999,372,18563020,2.003984265491280,0.555
Arkansas,2000,384,16040400,2.3939552629610200,0.542
Arkansas,2001,394,18840997,2.0911844527123500,0.537
Arkansas,2002,428,21647416,1.9771412902121900,0.56
Arkansas,2003,396,19073712,2.076155915534430,0.516
Arkansas,2004,377,16498116,2.2851094027948400,0.544
Arkansas,2005,409,13905485,2.9412853992507300,0.499
Arkansas,2006,404,16930566,2.386216739593940,0.481
Arkansas,2007,410,17091900,2.3987970910197200,0.507
Arkansas,2008,434,17247324,2.5163323887230300,0.508
Arkansas,2009,441,14484215,3.044693827038610,0.493
Arkansas,2010,397,14579590,2.72298466554958,0.493
Arkansas,2011,433,11751916,3.684505573389050,0.527
Arkansas,2012,472,14745655,3.200942921830190,0.544
Arkansas,2013,484,17756238,2.7258026165227100,0.5
Arkansas,2014,484,14831845,3.2632487731634200,0.493
Arkansas,2015,505,14891020,3.391305632522150,0.462
Arkansas,2016,504,11952992,4.21651750457124,0.518
California,1999,3048,368491244,0.8271566962931690,0.271
California,2000,3098,338716480,0.9146292498079810,0.274
California,2001,3194,344794580,0.9263486682418270,0.229
California,2002,3390,313846587,1.0801455680638000,0.228
California,2003,3466,423037908,0.8193119184959660,0.198
California,2004,3307,355745760,0.9295964623724540,0.203
California,2005,3438,358279430,0.9595862090101010,0.209
California,2006,3354,324190818,1.034575877469790,0.202
California,2007,3255,362503110,0.8979233309198370,0.185
California,2008,3151,329439033,0.9564743956736910,0.175
California,2009,3083,369612290,0.8341172854398320,0.196
California,2010,2918,335285604,0.8703028001166430,0.174
California,2011,2980,301535296,0.9882756810002100,0.16
California,2012,3051,342372870,0.8911336929237410,0.214
California,2013,2999,306660168,0.977955506761478,0.155
California,2014,2917,310420000,0.9396946073062300,0.183
California,2015,3074,313158544,0.9816114102254860,0.151
California,2016,3169,353250153,0.897097983705615,0.163
Colorado,1999,414,16904072,2.4491140359553600,0.43
Colorado,2000,418,17205044,2.4295200872488300,0.467
Colorado,2001,480,22128435,2.169154754956690,0.371
Colorado,2002,496,26942436,1.8409619679527100,0.363
Colorado,2003,480,22643660,2.1197986544578000,0.373
Colorado,2004,535,27450078,1.9489926403852100,0.411
Colorado,2005,521,32423216,1.6068732972077800,0.378
Colorado,2006,475,28322538,1.6771095867185300,0.399
Colorado,2007,480,24019340,1.9983896310223300,0.404
Colorado,2008,487,24448650,1.9919300247661900,0.402
Colorado,2009,562,29833170,1.883809196273810,0.411
Colorado,2010,541,35204372,1.536740947970890,0.384
Colorado,2011,551,30700776,1.794742908127140,0.36
Colorado,2012,637,20750328,3.0698309925510600,0.414
Colorado,2013,585,21073468,2.7760025070387100,0.394
Colorado,2014,643,26779330,2.401105628856290,0.385
Colorado,2015,677,27282870,2.481410496769590,0.369
Colorado,2016,782,27702725,2.8228269962612000,0.379
Connecticut,1999,190,10159203,1.8702254497719900,0.198
Connecticut,2000,170,10216695,1.6639431831918200,0.202
Connecticut,2001,184,10298505,1.7866670939131500,0.189
Connecticut,2002,138,10376247,1.3299606302741300,0.193
Connecticut,2003,141,10453008,1.3488940217017000,0.179
Connecticut,2004,167,10488282,1.5922531449859900,0.166
Connecticut,2005,175,10520868,1.663360855777300,0.202
Connecticut,2006,168,10552380,1.5920579054203900,0.174
Connecticut,2007,140,10581810,1.3230250779403500,0.116
Connecticut,2008,196,10636737,1.8426703602806000,0.192
Connecticut,2009,163,7123614,2.288164406437520,0.185
Connecticut,2010,206,10722291,1.9212311995636000,0.172
Connecticut,2011,203,10742127,1.8897560976518000,0.163
Connecticut,2012,224,10771041,2.0796504256181000,0.183
Connecticut,2013,151,10788240,1.3996722356936800,0.141
Connecticut,2014,176,10790031,1.6311352580914700,0.2
Connecticut,2015,178,10772658,1.6523313002232100,0.192
Connecticut,2016,161,10729356,1.500556044556640,0.188
Delaware,1999,55,1549980,3.548432883004940,0.319
Delaware,2000,39,1567200,2.4885145482389000,0.352
Delaware,2001,70,2387097,2.9324321550402000,0.3
Delaware,2002,55,1612338,3.4111954193227500,0.317
Delaware,2003,59,2454009,2.404229161343740,0.304
Delaware,2004,63,1661606,3.7915125487028800,0.331
Delaware,2005,75,2535450,2.9580547831745800,0.3
Delaware,2006,73,2577804,2.8318677447936300,0.303
Delaware,2007,75,2615247,2.8677979556041900,0.262
Delaware,2008,91,2651622,3.431861705778580,0.263
Delaware,2009,69,1783460,3.86888407926166,0.265
Delaware,2010,85,2693802,3.155391524692610,0.269
Delaware,2011,64,1814270,3.5275896090438600,0.309
Delaware,2012,89,2751276,3.234862660089360,0.308
Delaware,2013,96,2777247,3.4566604986880900,0.289
Delaware,2014,97,2806842,3.4558411196640200,0.301
Delaware,2015,108,2837802,3.8057623470559300,0.32
Delaware,2016,102,1904130,5.35677711080651,0.387
Florida,1999,1704,126075368,1.351572497492140,0.33
Florida,2000,1681,127859024,1.3147292599386600,0.32
Florida,2001,1792,130855728,1.3694471211837200,0.268
Florida,2002,1867,133514960,1.3983451742037000,0.277
Florida,2003,1923,119028595,1.6155781726231400,0.266
Florida,2004,1880,156737862,1.1994549217469900,0.234
Florida,2005,1823,142736304,1.2771803310810100,0.295
Florida,2006,2065,145335920,1.420846271176460,0.282
Florida,2007,2266,165310578,1.3707531770894900,0.261
Florida,2008,2323,166745745,1.3931389973399300,0.303
Florida,2009,2307,149221152,1.5460274693496500,0.281
Florida,2010,2261,169211790,1.336195308849340,0.27
Florida,2011,2364,171517878,1.3782819771126100,0.325
Florida,2012,2464,173858112,1.4172476461725300,0.309
Florida,2013,2424,156422880,1.5496454227156500,0.279
Florida,2014,2399,159146376,1.5074172973941900,0.284
Florida,2015,2550,162170176,1.5724222929868400,0.277
Florida,2016,2690,164899512,1.6312965195433700,0.288
Georgia,1999,1081,56321755,1.9193293958968400,0.488
Georgia,2000,1079,65491624,1.6475389280314700,0.467
Georgia,2001,1111,67016304,1.6578055393803900,0.427
Georgia,2002,1120,68066048,1.6454605973304000,0.442
Georgia,2003,1161,60359551,1.9234735526776900,0.396
Georgia,2004,1043,61384764,1.69911869336176,0.43
Georgia,2005,1053,71407376,1.474637578056360,0.416
Georgia,2006,1134,73246504,1.5481967576227300,0.395
Georgia,2007,1236,84149892,1.468807589200470,0.388
Georgia,2008,1168,76038744,1.5360590385343600,0.395
Georgia,2009,1227,76966768,1.594194523018040,0.453
Georgia,2010,1204,77501224,1.553523851442660,0.364
Georgia,2011,1214,78521680,1.5460698242829200,0.421
Georgia,2012,1272,79359560,1.602831467311560,0.401
Georgia,2013,1254,79937336,1.568728785257490,0.379
Georgia,2014,1378,80778744,1.7058943129890700,0.382
Georgia,2015,1435,81718880,1.7560201510348600,0.361
Georgia,2016,1567,92793339,1.6886987976583100,0.377
Hawaii,1999,40,2420600,1.6524828554903700,0.075
Hawaii,2000,28,1211537,2.3111138991215300,0.124
Hawaii,2001,25,1225948,2.039238205861910,0.103
Hawaii,2002,33,2479226,1.3310605810039100,0.098
Hawaii,2003,22,1251154,1.7583766666613400,0.063
Hawaii,2004,26,1273569,2.0415069776352900,0.2
Hawaii,2005,21,1292729,1.6244704033095900,0.072
Hawaii,2006,16,1309731,1.22162489854787,0.116
Hawaii,2007,26,1315675,1.9761719269576500,0.064
Hawaii,2008,37,2664426,1.3886668273016400,0.099
Hawaii,2009,31,1346717,2.3018941618766200,0.062
Hawaii,2010,33,1360301,2.425933672032880,0.084
Hawaii,2011,33,1374810,2.400331682196090,0.081
Hawaii,2012,39,1392313,2.8010942941709200,0.12
Hawaii,2013,23,1404054,1.638113633806110,0.073
Hawaii,2014,29,1419561,2.042885089122620,0.034
Hawaii,2015,37,1431603,2.584515399869940,0.096
Hawaii,2016,54,2857114,1.890019089192800,0.091
Idaho,1999,136,5102696,2.6652577382622800,0.583
Idaho,2000,119,5175812,2.2991561517304000,0.609
Idaho,2001,151,5279848,2.8599308161901600,0.573
Idaho,2002,149,5361488,2.779079240688410,0.576
Idaho,2003,149,5453520,2.732180316566180,0.51
Idaho,2004,164,5567208,2.945821316537840,0.557
Idaho,2005,183,5712964,3.2032409096224000,0.589
Idaho,2006,163,5874676,2.774621102508460,0.554
Idaho,2007,173,6020420,2.8735536723351500,0.561
Idaho,2008,159,6137280,2.5907242296261500,0.543
Idaho,2009,176,4663317,3.774137593476920,0.541
Idaho,2010,193,6270328,3.077988902653900,0.523
Idaho,2011,180,6339940,2.8391435881096700,0.466
Idaho,2012,190,6382912,2.9766977830808300,0.552
Idaho,2013,200,4836408,4.135300413033810,0.542
Idaho,2014,195,6537856,2.9826291677271600,0.53
Idaho,2015,229,6619720,3.4593608188866000,0.509
Idaho,2016,215,5049420,4.257914770409280,0.578
Illinois,1999,1182,86513140,1.3662664422999800,0.279
Illinois,2000,1105,74515758,1.4829078166258500,0.286
Illinois,2001,1265,87419115,1.44705194052811,0.218
Illinois,2002,1219,100204448,1.2165128637802600,0.232
Illinois,2003,1132,100448048,1.1269507198387800,0.218
Illinois,2004,972,88128411,1.102936032739770,0.226
Illinois,2005,1002,75659418,1.3243559446888700,0.23
Illinois,2006,1009,75863730,1.3300163332332900,0.245
Illinois,2007,1006,76175196,1.3206398576250500,0.225
Illinois,2008,1076,76482228,1.4068627812463800,0.205
Illinois,2009,1047,89577446,1.168820999875350,0.243
Illinois,2010,1045,89814424,1.1635102174679600,0.243
Illinois,2011,1099,90084799,1.219961649689640,0.243
Illinois,2012,1162,90126785,1.2892948528009700,0.266
Illinois,2013,1102,103057080,1.0693103278299800,0.244
Illinois,2014,1154,77283480,1.4932039809801500,0.238
Illinois,2015,1198,77159970,1.5526185404167500,0.238
Illinois,2016,1465,76809234,1.907322757573650,0.226
Indiana,1999,659,42314783,1.5573753503592400,0.405
Indiana,2000,647,42563395,1.5200855100961800,0.444
Indiana,2001,714,36766560,1.9419820619606500,0.387
Indiana,2002,688,30779835,2.235229656039420,0.408
Indiana,2003,665,30983190,2.146325152445570,0.364
Indiana,2004,612,37398042,1.6364493092980600,0.391
Indiana,2005,683,43950312,1.5540276483134000,0.37
Indiana,2006,713,37996014,1.8765126257717500,0.386
Indiana,2007,646,38277594,1.6876713828983100,0.358
Indiana,2008,690,32124030,2.1479247778065200,0.374
Indiana,2009,716,38755950,1.8474582612476300,0.4
Indiana,2010,688,38902812,1.7685096902506700,0.391
Indiana,2011,633,52135376,1.2141468012046200,0.351
Indiana,2012,787,52298672,1.5048183250236300,0.432
Indiana,2013,846,52567216,1.6093680897995400,0.406
Indiana,2014,792,39581130,2.0009534846529100,0.424
Indiana,2015,828,46337760,1.7868796420025500,0.394
Indiana,2016,984,46431371,2.119256827458320,0.424
Iowa,1999,181,14588170,1.2407313597250400,0.397
Iowa,2000,170,11705296,1.452334054602290,0.477
Iowa,2001,167,11727988,1.4239441581966100,0.398
Iowa,2002,184,14671170,1.2541603703044800,0.417
Iowa,2003,188,11767996,1.5975532282641800,0.389
Iowa,2004,171,11814540,1.447369089274740,0.423
Iowa,2005,181,11857816,1.5264193676137300,0.359
Iowa,2006,180,14913220,1.206982797812950,0.375
Iowa,2007,133,8997636,1.478166042725,0.388
Iowa,2008,199,12066936,1.6491344613081600,0.396
Iowa,2009,160,9098610,1.7585103658690700,0.387
Iowa,2010,202,15231775,1.3261750518242300,0.411
Iowa,2011,204,12249236,1.6654099896516000,0.376
Iowa,2012,198,12296744,1.6101823376985000,0.409
Iowa,2013,233,12361664,1.8848595140589500,0.401
Iowa,2014,225,15535630,1.4482837194243200,0.331
Iowa,2015,231,12495596,1.8486513168319500,0.36
Iowa,2016,266,12538772,2.1214198647204000,0.385
Kansas,1999,247,10713352,2.3055342529583600,0.433
